S/N,Journal ID,Journal Title,eISSN,Journal Imprint,Main Discipline,Publishing Model,OA License,URL
567,12140,East Asia,1874-6284,Springer,Political Science and International Relations,Springer Hybrid,CC BY-NC-ND,https://springer.com/12140
568,41302,Eastern economic journal,1939-4632,Palgrave Macmillan,Economics,Springer Hybrid,CC BY,https://springer.com/41302
569,10393,EcoHealth,1612-9210,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/10393
570,40888,Economia Politica,1973-820X,Springer,Economics,Springer Hybrid,CC BY,https://springer.com/40888
571,12231,Economic Botany,1874-9364,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/12231
572,10644,Economic Change and Restructuring,1574-0277,Springer,Economics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10644
573,199,Economic Theory,1432-0479,Springer,Economics,Springer Hybrid,CC BY-NC-ND,https://springer.com/199
574,40505,Economic Theory Bulletin,2196-1093,Springer,Economics,Springer Hybrid,CC BY,https://springer.com/40505
575,41885,Economics of Disasters and Climate Change,2511-1299,Springer,Economics,Springer Hybrid,CC BY-NC-ND,https://springer.com/41885
576,10101,Economics of Governance,1435-8131,Springer,Economics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10101
577,10021,Ecosystems,1435-0629,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10021
578,10646,Ecotoxicology,1573-3017,Springer,Environment,Springer Hybrid,CC BY-NC-ND,https://springer.com/10646
579,10639,Education and Information Technologies,1573-7608,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/10639
580,43494,Education and Treatment of Children,1934-8924,Springer,Psychology,Springer Hybrid,CC BY,https://springer.com/43494
581,11092,"Educational Assessment, Evaluation and Accountability",1874-8600,Springer,Education,Springer Hybrid,CC BY-NC-ND,https://springer.com/11092
582,10648,Educational Psychology Review,1573-336X,Springer,Education,Springer Hybrid,CC BY-NC-ND,https://springer.com/10648
583,10671,Educational Research for Policy and Practice,1573-1723,Springer,Education,Springer Hybrid,CC BY-NC-ND,https://springer.com/10671
584,10649,Educational Studies in Mathematics,1573-0816,Springer,Education,Springer Hybrid,CC BY-NC-ND,https://springer.com/10649
585,11423,Educational Technology Research and Development,1556-6501,Springer,Education,Springer Hybrid,CC BY,https://springer.com/11423
586,202,Electrical Engineering,1432-0487,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/202
587,12678,Electrocatalysis,1868-5994,Springer,Chemistry,Springer Hybrid,CC BY-NC-ND,https://springer.com/12678
588,41918,Electrochemical Energy Reviews,2520-8136,Springer,Chemistry,Springer Hybrid,CC BY,https://springer.com/41918
589,10660,Electronic Commerce Research,1572-9362,Springer,Business and Management,Springer Hybrid,CC BY-NC-ND,https://springer.com/10660
590,12525,Electronic Markets,1422-8890,Springer,Business and Management,Springer Hybrid,CC BY,https://springer.com/12525
591,13391,Electronic Materials Letters,2093-6788,"The Korean Institute of Metals and Materials, co-published with Springer",Materials Science,Springer Hybrid,CC BY,https://springer.com/13391
592,10140,Emergency Radiology,1438-1435,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/10140
593,42247,Emergent Materials,2522-574X,Springer,Materials Science,Springer Hybrid,CC BY,https://springer.com/42247
594,40825,Emission Control Science and Technology,2199-3637,Springer,Earth Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/40825
595,10663,Empirica,1573-6911,Springer,Economics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10663
596,181,Empirical Economics,1435-8921,Springer,Economics,Springer Hybrid,CC BY-NC-ND,https://springer.com/181
597,10664,Empirical Software Engineering,1573-7616,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/10664
598,10672,Employee Responsibilities and Rights Journal,1573-3378,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10672
599,12020,Endocrine,1559-0100,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/12020
600,12022,Endocrine Pathology,1559-0097,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/12022
601,12053,Energy Efficiency,1570-6478,Springer,Energy,Springer Hybrid,CC BY-NC-ND,https://springer.com/12053
602,12667,Energy Systems,1868-3975,Springer,Energy,Springer Hybrid,CC BY-NC-ND,https://springer.com/12667
603,40974,"Energy, Ecology and Environment",2363-8338,"Joint Center on Global Change and Earth System Science of the University of Maryland and Beijing Normal University, co-published with Springer",Environment,Springer Hybrid,CC BY,https://springer.com/40974
604,366,Engineering with Computers,1435-5663,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/366
605,42321,English Teaching & Learning,2522-8560,Springer,Education,Springer Hybrid,CC BY,https://springer.com/42321
606,41959,Entrepreneurship Education,2520-8152,Springer,Education,Springer Hybrid,CC BY-NC-ND,https://springer.com/41959
607,10669,Environment Systems and Decisions,2194-5411,Springer,Environment,Springer Hybrid,CC BY-NC-ND,https://springer.com/10669
608,10668,"Environment, Development and Sustainability",1573-2975,Springer,Environment,Springer Hybrid,CC BY-NC-ND,https://springer.com/10668
609,10651,Environmental and Ecological Statistics,1573-3009,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10651
610,10640,Environmental and Resource Economics,1573-1502,Springer,Economics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10640
611,10641,Environmental Biology of Fishes,1573-5133,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10641
612,10311,Environmental Chemistry Letters,1610-3661,Springer,Environment,Springer Hybrid,CC BY-NC-ND,https://springer.com/10311
613,12665,Environmental Earth Sciences,1866-6299,Springer,Earth Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/12665
614,10018,Environmental Economics and Policy Studies,1867-383X,Springer,Economics,Springer Hybrid,CC BY,https://springer.com/10018
615,10652,Environmental Fluid Mechanics,1573-1510,Springer,Earth Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10652
616,10653,Environmental Geochemistry and Health,1573-2983,Springer,Environment,Springer Hybrid,CC BY-NC-ND,https://springer.com/10653
617,267,Environmental Management,1432-1009,Springer,Environment,Springer Hybrid,CC BY-NC-ND,https://springer.com/267
618,10666,Environmental Modeling & Assessment,1573-2967,Springer,Environment,Springer Hybrid,CC BY-NC-ND,https://springer.com/10666
619,10661,Environmental Monitoring and Assessment,1573-2959,Springer,Environment,Springer Hybrid,CC BY-NC-ND,https://springer.com/10661
620,40710,Environmental Processes,2198-7505,Springer,Earth Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/40710
621,11356,Environmental Science and Pollution Research,1614-7499,Springer,Environment,Springer Hybrid,CC BY-NC-ND,https://springer.com/11356
622,42398,Environmental Sustainability,2523-8922,Springer,Environment,Springer Hybrid,CC BY,https://springer.com/42398
623,13167,EPMA Journal,1878-5085,Springer,Biomedicine,Springer Hybrid,CC BY,https://springer.com/13167
624,12027,ERA Forum,1863-9038,Springer,Law,Springer Hybrid,CC BY,https://springer.com/12027
625,10670,Erkenntnis,1572-8420,Springer,Philosophy,Springer Hybrid,CC BY-NC-ND,https://springer.com/10670
626,10388,Esophagus,1612-9067,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/10388
627,12237,Estuaries and Coasts,1559-2731,Springer,Environment,Springer Hybrid,CC BY,https://springer.com/12237
628,10677,Ethical Theory and Moral Practice,1572-8447,Springer,Philosophy,Springer Hybrid,CC BY-NC-ND,https://springer.com/10677
629,10676,Ethics and Information Technology,1572-8439,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/10676
630,481,Ethik in der Medizin,1437-1618,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/481
631,10681,Euphytica,1573-5060,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10681
632,40821,Eurasian Business Review,2147-4281,Springer,Business and Management,Springer Hybrid,CC BY,https://springer.com/40821
633,40822,Eurasian Economic Review,2147-429X,Springer,Economics,Springer Hybrid,CC BY,https://springer.com/40822
634,41207,Euro-Mediterranean Journal for Environmental Integration,2365-7448,Springer,Earth Sciences,Springer Hybrid,CC BY,https://springer.com/41207
635,13385,European Actuarial Journal,2190-9741,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/13385
636,405,European Archives of Oto-Rhino-Laryngology,1434-4726,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/405
637,40368,European Archives of Paediatric Dentistry,1996-9805,Springer,Dentistry,Springer Hybrid,CC BY,https://springer.com/40368
638,406,European Archives of Psychiatry and Clinical Neuroscience,1433-8491,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/406
639,249,European Biophysics Journal,1432-1017,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/249
640,40804,European Business Organization Law Review,1741-6205,Springer,Law,Springer Hybrid,CC BY,https://springer.com/40804
641,787,European Child & Adolescent Psychiatry,1435-165X,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/787
642,217,European Food Research and Technology,1438-2385,Springer,Chemistry,Springer Hybrid,CC BY-NC-ND,https://springer.com/217
643,41999,European Geriatric Medicine,1878-7657,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/41999
644,13194,European Journal for Philosophy of Science,1879-4920,Springer,Philosophy,Springer Hybrid,CC BY,https://springer.com/13194
645,41125,European Journal for Security Research,2365-1695,Springer,Law,Springer Hybrid,CC BY-NC-ND,https://springer.com/41125
646,421,European Journal of Applied Physiology,1439-6327,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/421
647,10096,European Journal of Clinical Microbiology & Infectious Diseases,1435-4373,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/10096
648,41430,European Journal of Clinical Nutrition,1476-5640,Springer Nature,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/41430
649,228,European Journal of Clinical Pharmacology,1432-1041,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/228
650,13318,European Journal of Drug Metabolism and Pharmacokinetics,2107-0180,Adis,Biomedicine,Springer Hybrid,CC BY-NC,https://springer.com/13318
651,10654,European Journal of Epidemiology,1573-7284,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/10654
652,10342,European Journal of Forest Research,1612-4677,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10342
653,41431,European Journal of Human Genetics,1476-5438,Springer Nature,Biomedicine,Springer Hybrid,CC BY,https://springer.com/41431
654,10657,European Journal of Law and Economics,1572-9990,Springer,Economics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10657
655,40879,European Journal of Mathematics,2199-6768,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/40879
656,259,European Journal of Nuclear Medicine and Molecular Imaging,1619-7089,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/259
657,394,European Journal of Nutrition,1436-6215,Springer,Chemistry,Springer Hybrid,CC BY-NC-ND,https://springer.com/394
658,590,European Journal of Orthopaedic Surgery & Traumatology,1432-1068,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/590
659,431,European Journal of Pediatrics,1432-1076,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/431
660,10658,European Journal of Plant Pathology,1573-8469,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/10658
661,238,European Journal of Plastic Surgery,1435-0130,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/238
662,10212,European Journal of Psychology of Education,1878-5174,Springer,Education,Springer Hybrid,CC BY,https://springer.com/10212
663,68,European Journal of Trauma and Emergency Surgery,1863-9941,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/68
664,10344,European Journal of Wildlife Research,1439-0574,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10344
665,107,European Journal of Wood and Wood Products,1436-736X,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/107
666,10610,European Journal on Criminal Policy and Research,1572-9869,Springer,Criminology and Criminal Justice,Springer Hybrid,CC BY-NC-ND,https://springer.com/10610
667,41304,European Political Science,1682-0983,Palgrave Macmillan,Political Science and International Relations,Springer Hybrid,CC BY,https://springer.com/41304
668,330,European Radiology,1432-1084,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/330
669,586,European Spine Journal,1432-0932,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/586
670,10353,European Surgery,1682-4016,SpringerMedizin,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/10353
671,41432,Evidence-based Dentistry,1476-5446,Springer Nature,Dentistry,Springer Hybrid,CC BY,https://springer.com/41432
672,40844,Evolutionary and Institutional Economics Review,2188-2096,Springer,Economics,Springer Hybrid,CC BY,https://springer.com/40844
673,11692,Evolutionary Biology,1934-2845,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/11692
674,10682,Evolutionary Ecology,1573-8477,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10682
675,12065,Evolutionary Intelligence,1864-5917,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/12065
676,40806,Evolutionary Psychological Science,2198-9885,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/40806
677,12530,Evolving Systems,1868-6486,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/12530
678,10493,Experimental and Applied Acarology,1572-9702,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10493
679,42757,Experimental and Computational Multiphase Flow,2661-8877,"Tsinghua University Press, co-published with Springer",Engineering,Springer Hybrid,CC BY,https://springer.com/42757
680,10686,Experimental Astronomy,1572-9508,Springer,Physics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10686
681,221,Experimental Brain Research,1432-1106,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/221
682,11340,Experimental Mechanics,1741-2765,Springer,Engineering,Springer Hybrid,CC BY,https://springer.com/11340
683,40799,Experimental Techniques,1747-1567,Springer,Materials Science,Springer Hybrid,CC BY,https://springer.com/40799
684,348,Experiments in Fluids,1432-1114,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/348
685,12403,Exposure and Health,2451-9685,Springer,Environment,Springer Hybrid,CC BY-NC-ND,https://springer.com/12403
686,10687,Extremes,1572-915X,Springer,Statistics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10687
687,792,Extremophiles,1433-4909,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/792
688,41433,Eye,1476-5454,Springer Nature,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/41433
689,10347,Facies,1612-4820,Springer,Earth Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10347
690,10689,Familial Cancer,1573-7292,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/10689
691,10691,Feminist Legal Studies,1572-8455,Springer,Law,Springer Hybrid,CC BY-NC-ND,https://springer.com/10691
692,601,Few-Body Systems,1432-5411,Springer,Physics,Springer Hybrid,CC BY-NC-ND,https://springer.com/601
693,12221,Fibers and Polymers,1875-0052,"The Korean Fiber Society, co-published with Springer",Chemistry,Springer Hybrid,CC BY,https://springer.com/12221
694,780,Finance and Stochastics,1432-1122,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/780
695,11408,Financial Markets and Portfolio Management,2373-8529,Springer,Business and Management,Springer Hybrid,CC BY,https://springer.com/11408
696,10694,Fire Technology,1572-8099,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/10694
697,10695,Fish Physiology and Biochemistry,1573-5168,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10695
698,12562,Fisheries Science,1444-2906,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/12562
699,10696,Flexible Services and Manufacturing Journal,1936-6590,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/10696
700,10494,"Flow, Turbulence and Combustion",1573-1987,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/10494
701,12224,Folia Geobotanica,1874-9348,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/12224
702,12223,Folia Microbiologica,1874-9356,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/12223
703,12161,Food Analytical Methods,1936-976X,Springer,Chemistry,Springer Hybrid,CC BY-NC-ND,https://springer.com/12161
704,11947,Food and Bioprocess Technology,1935-5149,Springer,Chemistry,Springer Hybrid,CC BY-NC-ND,https://springer.com/11947
705,12560,Food and Environmental Virology,1867-0342,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/12560
706,11483,Food Biophysics,1557-1866,Springer,Chemistry,Springer Hybrid,CC BY-NC-ND,https://springer.com/11483
707,12393,Food Engineering Reviews,1866-7929,Springer,Chemistry,Springer Hybrid,CC BY-NC-ND,https://springer.com/12393
708,41055,Food Ethics,2364-6861,Springer,Philosophy,Springer Hybrid,CC BY-NC-ND,https://springer.com/41055
709,10068,Food Science and Biotechnology,2092-6456,"The Korean Society of Food Science and Technology, co-published with Springer",Chemistry,Springer Hybrid,CC BY,https://springer.com/10068
710,12571,Food Security,1876-4525,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/12571
711,12024,"Forensic Science, Medicine and Pathology",1556-2891,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/12024
712,11419,Forensic Toxicology,1860-8973,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/11419
713,11757,"Forensische Psychiatrie, Psychologie, Kriminologie",1862-7080,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/11757
714,44391,Forest Science ,1938-3738,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/44391
715,10703,Formal Methods in System Design,1572-8102,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/10703
716,10010,Forschung im Ingenieurwesen,1434-0860,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/10010
717,451,Forum der Psychoanalyse,1437-0751,SpringerMedizin,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/451
718,43594,Forum Kinder- und Jugendsport,2730-7220,Springer,Education,Springer Hybrid,CC BY,https://springer.com/43594
719,10698,Foundations of Chemistry,1572-8463,Springer,Philosophy,Springer Hybrid,CC BY-NC-ND,https://springer.com/10698
720,10208,Foundations of Computational Mathematics,1615-3383,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/10208
721,10701,Foundations of Physics,1572-9516,Springer,Physics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10701
722,10699,Foundations of Science,1572-8471,Springer,Philosophy,Springer Hybrid,CC BY-NC-ND,https://springer.com/10699
723,13540,Fractional Calculus and Applied Analysis,1314-2224,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/13540
724,41253,French Politics,1476-3427,Palgrave Macmillan,Political Science and International Relations,Springer Hybrid,CC BY-NC-ND,https://springer.com/41253
725,11708,Frontiers in Energy,2095-1698,"Higher Education Press, co-published with Springer",Energy,Springer Hybrid,CC BY,https://springer.com/11708
726,11705,Frontiers of Chemical Science and Engineering,2095-0187,"Higher Education Press, co-published with Springer",Chemistry,Springer Hybrid,CC BY,https://springer.com/11705
727,11704,Frontiers of Computer Science,2095-2236,"Higher Education Press, co-published with Springer",Computer Science,Springer Hybrid,CC BY,https://springer.com/11704
728,44366,Frontiers of Digital Education,2097-3926,Springer,Education,Springer Hybrid,CC BY,https://springer.com/44366
729,11707,Frontiers of Earth Science,2095-0209,"Higher Education Press, co-published with Springer",Earth Sciences,Springer Hybrid,CC BY,https://springer.com/11707
730,42524,Frontiers of Engineering Management,2096-0255,"Higher Education Press, co-published with Springer",Engineering,Springer Hybrid,CC BY,https://springer.com/42524
731,11783,Frontiers of Environmental Science & Engineering,2095-221X,"Higher Education Press, co-published with Springer",Environment,Springer Hybrid,CC BY,https://springer.com/11783
732,11714,Frontiers of Information Technology & Electronic Engineering,2095-9230,"Zhejiang University Press, co-published with Springer",Computer Science,Springer Hybrid,CC BY,https://springer.com/11714
733,11706,Frontiers of Materials Science,2095-0268,"Higher Education Press, co-published with Springer",Materials Science,Springer Hybrid,CC BY,https://springer.com/11706
734,11465,Frontiers of Mechanical Engineering,2095-0241,"Higher Education Press, co-published with Springer",Engineering,Springer Hybrid,CC BY,https://springer.com/11465
735,11684,Frontiers of Medicine,2095-0225,"Higher Education Press, co-published with Springer",Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/11684
736,11709,Frontiers of Structural and Civil Engineering,2095-2449,"Higher Education Press, co-published with Springer",Engineering,Springer Hybrid,CC BY,https://springer.com/11709
737,40647,Fudan Journal of the Humanities and Social Sciences,2198-2600,Springer,Social Sciences,Springer Hybrid,CC BY,https://springer.com/40647
738,10142,Functional & Integrative Genomics,1438-7948,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10142
739,13225,Fungal Diversity,1878-9129,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/13225
740,10700,Fuzzy Optimization and Decision Making,1573-2908,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10700
741,10120,Gastric Cancer,1436-3305,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/10120
742,772,Gefässchirurgie,1434-3932,SpringerMedizin,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/772
743,13137,GEM - International Journal on Geomathematics,1869-2680,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/13137
744,12147,Gender Issues,1936-4717,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/12147
745,41434,Gene Therapy,1476-5462,Springer Nature,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/41434
746,10714,General Relativity and Gravitation,1572-9532,Springer,Physics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10714
747,11748,General Thoracic and Cardiovascular Surgery,1863-6713,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/11748
748,13258,Genes & Genomics,2092-9293,"The Genetics Society of Korea, co-published with Springer",Life Sciences,Springer Hybrid,CC BY,https://springer.com/13258
749,41435,Genes & Immunity,1476-5470,Springer Nature,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/41435
750,10710,Genetic Programming and Evolvable Machines,1573-7632,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/10710
751,10722,Genetic Resources and Crop Evolution,1573-5109,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10722
752,10709,Genetica,1573-6857,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10709
753,42764,Genome Instability & Disease,2524-7662,Springer,Biomedicine,Springer Hybrid,CC BY,https://springer.com/42764
754,12371,Geoheritage,1867-2485,Springer,Earth Sciences,Springer Hybrid,CC BY,https://springer.com/12371
755,10707,GeoInformatica,1573-7624,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/10707
756,10708,GeoJournal,1572-9893,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10708
757,367,Geo-Marine Letters,1432-1157,Springer,Earth Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/367
758,10711,Geometriae Dedicata,1572-9168,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10711
759,39,Geometric and Functional Analysis,1420-8970,Birkhäuser,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/39
760,12303,Geosciences Journal,1598-7477,"The Geological Society of Korea, co-published with Springer",Earth Sciences,Springer Hybrid,to be provided,https://springer.com/12303
761,10706,Geotechnical and Geological Engineering,1573-1529,Springer,Earth Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10706
762,12662,German Journal of Exercise and Sport Research,2509-3150,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/12662
763,11357,GeroScience,2509-2723,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/11357
764,40940,Glass Structures & Engineering,2363-5150,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/40940
765,43477,Global Implementation Research and Applications,2662-9275,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/43477
766,40171,Global Journal of Flexible Systems Management,0974-0198,Springer,Business and Management,Springer Hybrid,CC BY,https://springer.com/40171
767,10516,Global Philosophy,2948-1538,Springer,Philosophy,Springer Hybrid,CC BY-NC-ND,https://springer.com/10516
768,43508,Global Public Policy and Governance,2730-6305,Springer,Political Science and International Relations,Springer Hybrid,CC BY,https://springer.com/43508
769,40609,Global Social Welfare,2196-8799,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/40609
770,44186,Global Surgical Education - Journal of the Association for Surgical Education,2731-4588,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/44186
771,10719,Glycoconjugate Journal,1573-4986,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10719
772,13404,Gold Bulletin,2190-7579,Springer,Materials Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/13404
773,10291,GPS Solutions,1521-1886,Springer,Earth Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10291
774,417,Graefe's Archive for Clinical and Experimental Ophthalmology,1435-702X,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/417
775,10035,Granular Matter,1434-7636,Springer,Physics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10035
776,41127,Graphene and 2D Materials,2731-6513,Springer,Materials Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/41127
777,373,Graphs and Combinatorics,1435-5914,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/373
778,10726,Group Decision and Negotiation,1572-9907,Springer,Business and Management,Springer Hybrid,CC BY-NC-ND,https://springer.com/10726
779,767,Grundwasser,1432-1165,Springer,Earth Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/767
780,11612,Gruppe. Interaktion. Organisation. Zeitschrift für Angewandte Organisationspsychologie (GIO),2366-6218,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/11612
781,41974,Gynäkologie in der Praxis,3005-0766,SpringerMedizin,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/41974
782,10304,Gynäkologische Endokrinologie,1610-2908,SpringerMedizin,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/10304
783,40803,Hague Journal on the Rule of Law,1876-4053,Springer,Law,Springer Hybrid,CC BY,https://springer.com/40803
784,12326,hautnah,2192-6484,SpringerMedizin,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/12326
785,12105,Head and Neck Pathology,1936-0568,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/12105
786,12553,Health and Technology,2190-7196,Springer,Engineering,Springer Hybrid,CC BY,https://springer.com/12553
787,10728,Health Care Analysis,1573-3394,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/10728
788,10729,Health Care Management Science,1572-9389,Springer,Business and Management,Springer Hybrid,CC BY-NC-ND,https://springer.com/10729
789,13755,Health Information Science and Systems,2047-2501,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/13755
