Journal Title,Online ISSN,Type
Journal of Biomedical Materials Research Part A,15524965,Hybrid
Journal of Biomedical Materials Research Part B: Applied Biomaterials,15524981,Hybrid
Journal of Biophotonics,18640648,Hybrid
Journal of Business Finance & Accounting,14685957,Hybrid
Journal of Business Logistics,21581592,Hybrid
Journal of Cardiovascular Electrophysiology,15408167,Hybrid
Journal of Cellular Biochemistry,10974644,Hybrid
Journal of Cellular Physiology,10974652,Hybrid
Journal of Chemical Technology and Biotechnology,10974660,Hybrid
Journal of Chemometrics,1099128X,Hybrid
Journal of Child and Adolescent Psychiatric Nursing,17446171,Hybrid
Journal of Child Psychology and Psychiatry,14697610,Hybrid
Journal of Clinical Apheresis,10981101,Hybrid
Journal of Clinical Nursing,13652702,Hybrid
Journal of Clinical Periodontology,1600051X,Hybrid
Journal of Clinical Psychology,10974679,Hybrid
Journal of Clinical Ultrasound,10970096,Hybrid
Journal of Combinatorial Designs,15206610,Hybrid
Journal of Community & Applied Social Psychology,10991298,Hybrid
Journal of Community Psychology,15206629,Hybrid
Journal of Computational Chemistry,1096987X,Hybrid
Journal of Computer Assisted Learning,13652729,Hybrid
Journal of Consumer Affairs,17456606,Hybrid
Journal of Consumer Behaviour,14791838,Hybrid
Journal of Consumer Psychology,15327663,Hybrid
Journal of Contingencies and Crisis Management,14685973,Hybrid
Journal of Corporate Accounting & Finance,10970053,Hybrid
Journal of Counseling & Development,15566676,Hybrid
Journal of Critical Infrastructure Policy,26933101,Hybrid
Journal of Cutaneous Pathology,16000560,Hybrid
Journal of Dental Education,19307837,Hybrid
Journal of Digestive Diseases,17512980,Hybrid
Journal of Ecology,13652745,Hybrid
Journal of Economic Surveys,14676419,Hybrid
Journal of Economics & Management Strategy,15309134,Hybrid
Journal of Educational Measurement,17453984,Hybrid
Journal of Elder Policy,27677451,Hybrid
Journal of Empirical Legal Studies,17401461,Hybrid
Journal of Employment Counseling,21611920,Hybrid
Journal of Engineering Education,21689830,Hybrid
Journal of Environmental Quality,15372537,Hybrid
Journal of Esthetic and Restorative Dentistry,17088240,Hybrid
Journal of Eukaryotic Microbiology,15507408,Hybrid
Journal of Evaluation in Clinical Practice,13652753,Hybrid
Journal of Evidence-Based Medicine,17565391,Hybrid
Journal of Experimental Zoology Part A: Ecological and Intergrative Physiology,19325231,Hybrid
Journal of Experimental Zoology Part B: Molecular and Developmental Evolution,15525015,Hybrid
Journal of Family Theory & Review,17562589,Hybrid
Journal of Family Therapy,14676427,Hybrid
Journal of Field Robotics,15564967,Hybrid
Journal of Financial Research,14756803,Hybrid
Journal of Fish Biology,10958649,Hybrid
Journal of Fish Diseases,13652761,Hybrid
Journal of Food Process Engineering,17454530,Hybrid
Journal of Food Safety,17454565,Hybrid
Journal of Food Science,17503841,Hybrid
Journal of Forecasting,1099131X,Hybrid
Journal of Forensic Sciences,15564029,Hybrid
Journal of Gastroenterology and Hepatology,14401746,Hybrid
Journal of Genetic Counseling,15733599,Hybrid
Journal of Geophysical Research: Atmospheres,21698996,Hybrid
Journal of Geophysical Research: Biogeosciences,21698961,Hybrid
Journal of Geophysical Research: Earth Surface,21699011,Hybrid
Journal of Geophysical Research: Oceans,21699291,Hybrid
Journal of Geophysical Research: Planets,21699100,Hybrid
Journal of Geophysical Research: Solid Earth,21699356,Hybrid
Journal of Geophysical Research: Space Physics,21699402,Hybrid
Journal of Graph Theory,10970118,Hybrid
Journal of Healthcare Risk Management,20400861,Hybrid
Journal of Hepato-Biliary-Pancreatic Sciences,18686982,Hybrid
Journal of Heterocyclic Chemistry,19435193,Hybrid
Journal of Hospital Medicine,15535606,Hybrid
Journal of Human Nutrition and Dietetics,1365277X,Hybrid
Journal of Industrial Ecology,15309290,Hybrid
Journal of Inherited Metabolic Disease,15732665,Hybrid
Journal of Integrative Plant Biology,17447909,Hybrid
Journal of Intellectual Disability Research,13652788,Hybrid
Journal of Internal Medicine,13652796,Hybrid
Journal of International Development,10991328,Hybrid
Journal of International Financial Management & Accounting,1467646X,Hybrid
Journal of Investigative Psychology and Offender Profiling,15444767,Hybrid
Journal of Labelled Compounds and Radiopharmaceuticals,10991344,Hybrid
Journal of Law and Society,14676478,Hybrid
Journal of Leadership Studies,1935262X,Hybrid
Journal of Legal Studies Education,17441722,Hybrid
Journal of Linguistic Anthropology,15481395,Hybrid
Journal of Magnetic Resonance Imaging,15222586,Hybrid
Journal of Management Studies,14676486,Hybrid
Journal of Marital and Family Therapy,17520606,Hybrid
Journal of Marriage and Family,17413737,Hybrid
Journal of Mass Spectrometry,10969888,Hybrid
Journal of Medical Imaging and Radiation Oncology,17549485,Hybrid
Journal of Medical Primatology,16000684,Hybrid
Journal of Medical Virology,10969071,Hybrid
Journal of Metamorphic Geology,15251314,Hybrid
Journal of Microscopy,13652818,Hybrid
Journal of Midwifery & Women's Health,15422011,Hybrid
Journal of Molecular Recognition,10991352,Hybrid
"Journal of Money, Credit and Banking",15384616,Hybrid
Journal of Morphology,10974687,Hybrid
Journal of Multi-Criteria Decision Analysis,10991360,Hybrid
Journal of Multicultural Counseling and Development,21611912,Hybrid
Journal of Neurochemistry,14714159,Hybrid
Journal of Neuroendocrinology,13652826,Hybrid
Journal of Neuroimaging,15526569,Hybrid
Journal of Neuropsychology,17486653,Hybrid
Journal of Neuroscience Research,10974547,Hybrid
Journal of Nursing Scholarship,15475069,Hybrid
Journal of Obstetrics and Gynaecology Research,14470756,Hybrid
Journal of Occupational and Organizational Psychology,20448325,Hybrid
Journal of Operations Management,18731317,Hybrid
Journal of Oral Pathology & Medicine,16000714,Hybrid
Journal of Oral Rehabilitation,13652842,Hybrid
Journal of Organizational Behavior,10991379,Hybrid
Journal of Orthopaedic Research ®,1554527X,Hybrid
Journal of Paediatrics and Child Health,14401754,Hybrid
Journal of Parenteral and Enteral Nutrition,19412444,Hybrid
Journal of Pediatric Gastroenterology and Nutrition,15364801,Hybrid
Journal of Peptide Science,10991387,Hybrid
Journal of Periodontal Research,16000765,Hybrid
Journal of Periodontology,19433670,Hybrid
Journal of Personality,14676494,Hybrid
Journal of Petroleum Geology,17475457,Hybrid
Journal of Pharmacy Practice and Research,20552335,Hybrid
Journal of Philanthropy,26911361,Hybrid
Journal of Phycology,15298817,Hybrid
Journal of Physical Organic Chemistry,10991395,Hybrid
Journal of Phytopathology,14390434,Hybrid
Journal of Pineal Research,1600079X,Hybrid
Journal of Plant Nutrition and Soil Science,15222624,Hybrid
Journal of Plant Registrations,19403496,Hybrid
Journal of Policy Analysis and Management,15206688,Hybrid
Journal of Policy and Practice In Intellectual Disabilities,17411130,Hybrid
Journal of Polymer Science,26424169,Hybrid
Journal of Product Innovation Management,15405885,Hybrid
Journal of Prosthodontics,1532849X,Hybrid
Journal of Psychiatric and Mental Health Nursing,13652850,Hybrid
Journal of Public Affairs,14791854,Hybrid
Journal of Public Economic Theory,14679779,Hybrid
Journal of Public Health Dentistry,17527325,Hybrid
Journal of Quaternary Science,10991417,Hybrid
Journal of Raman Spectroscopy,10974555,Hybrid
Journal Of Regional Science,14679787,Hybrid
Journal of Religious Ethics,14679795,Hybrid
Journal of Religious History,14679809,Hybrid
Journal of Renal Care,17556686,Hybrid
Journal of Research in Reading,14679817,Hybrid
Journal of Research in Science Teaching,10982736,Hybrid
Journal of Research in Special Educational Needs,14713802,Hybrid
Journal of Research On Adolescence,15327795,Hybrid
Journal of Risk and Insurance,15396975,Hybrid
Journal of School Health,17461561,Hybrid
Journal of Sensory Studies,1745459X,Hybrid
Journal of Separation Science,16159314,Hybrid
Journal of Sleep Research,13652869,Hybrid
Journal of Small Animal Practice,17485827,Hybrid
Journal of Social Issues,15404560,Hybrid
Journal of Social Philosophy,14679833,Hybrid
Journal of Sociolinguistics,14679841,Hybrid
Journal of Software: Evolution and Process,20477481,Hybrid
Journal of Supply Chain Management,1745493X,Hybrid
Journal of Surfactants and Detergents,15589293,Hybrid
Journal of Surgical Oncology,10969098,Hybrid
Journal of Systematics and Evolution,17596831,Hybrid
Journal of Texture Studies,17454603,Hybrid
Journal of the American Ceramic Society,15512916,Hybrid
Journal of the American Geriatrics Society,15325415,Hybrid
Journal of The American Oil Chemists' Society,15589331,Hybrid
Journal of the American Water Resources Association,17521688,Hybrid
Journal of the Association for Information Science and Technology,23301643,Hybrid
Journal of the Chinese Chemical Society,21926549,Hybrid
Journal of the European Academy of Dermatology and Venereology,14683083,Hybrid
Journal of the Experimental Analysis of Behavior,19383711,Hybrid
Journal of the History of the Behavioral Sciences,15206696,Hybrid
Journal of the London Mathematical Society,14697750,Hybrid
Journal of the Peripheral Nervous System,15298027,Hybrid
Journal of the Royal Anthropological Institute,14679655,Hybrid
Journal of the Science of Food and Agriculture,10970010,Hybrid
Journal of the Society for Information Display,19383657,Hybrid
Journal of Time Series Analysis,14679892,Hybrid
Journal of Topology,17538424,Hybrid
Journal of Traumatic Stress,15736598,Hybrid
Journal of Ultrasound in Medicine,15509613,Hybrid
Journal of Vegetation Science,16541103,Hybrid
Journal of Veterinary Emergency and Critical Care,14764431,Hybrid
Journal of Veterinary Pharmacology and Therapeutics,13652885,Hybrid
Journal of Vinyl & Additive Technology,15480585,Hybrid
Journal of Viral Hepatitis,13652893,Hybrid
Journal of Zoology,14697998,Hybrid
Juvenile and Family Court Journal,17556988,Hybrid
"Knee Surgery, Sports Traumatology, Arthroscopy",14337347,Hybrid
Knowledge and Process Management,10991441,Hybrid
Kyklos,14676435,Hybrid
LABOUR,14679914,Hybrid
"Lakes & Reservoirs: Science, Policy and Management for Sustainable Use",14401770,Hybrid
Land Degradation & Development,1099145X,Hybrid
Language and Linguistics Compass,1749818X,Hybrid
Language Learning,14679922,Hybrid
Laser & Photonics Reviews,18638899,Hybrid
Lasers in Surgery and Medicine,10969101,Hybrid
Latin American Policy,20417373,Hybrid
Law & Policy,14679930,Hybrid
Leader to Leader,15315355,Hybrid
Legal and Criminological Psychology,20448333,Hybrid
Legislative Studies Quarterly,19399162,Hybrid
Limnology and Oceanography,19395590,Hybrid
Limnology and Oceanography Bulletin,15396088,Hybrid
Limnology and Oceanography: Methods,15415856,Hybrid
Lipids,15589307,Hybrid
Literacy,17414369,Hybrid
Literature Compass,17414113,Hybrid
Liver International,14783231,Hybrid
Lubrication Science,15576833,Hybrid
Luminescence,15227243,Hybrid
LUTS: Lower Urinary Tract Symptoms,17575672,Hybrid
Macromolecular Bioscience,16165195,Hybrid
Macromolecular Chemistry and Physics,15213935,Hybrid
Macromolecular Rapid Communications,15213927,Hybrid
Macromolecular Reaction Engineering,18628338,Hybrid
Macromolecular Symposia,15213900,Hybrid
Macromolecular Theory and Simulations,15213919,Hybrid
Magnetic Resonance in Chemistry,1097458X,Hybrid
Magnetic Resonance in Medicine,15222594,Hybrid
Mammal Review,13652907,Hybrid
Managerial and Decision Economics,10991468,Hybrid
Marine Ecology,14390485,Hybrid
Marine Mammal Science,17487692,Hybrid
Mass Spectrometry Reviews,10982787,Hybrid
Materials and Corrosion,15214176,Hybrid
Materialwissenschaft und Werkstofftechnik,15214052,Hybrid
Mathematical Finance,14679965,Hybrid
Mathematical Logic Quarterly,15213870,Hybrid
Mathematical Methods in the Applied Sciences,10991476,Hybrid
Mathematika,20417942,Hybrid
Mathematische Nachrichten,15222616,Hybrid
Medical and Veterinary Entomology,13652915,Hybrid
Medical Anthropology Quarterly,15481387,Hybrid
Medical Education,13652923,Hybrid
Medical Journal of Australia,13265377,Hybrid
Medical Physics,24734209,Hybrid
Medicinal Research Reviews,10981128,Hybrid
Metaphilosophy,14679973,Hybrid
Meteoritics & Planetary Science,19455100,Hybrid
Metroeconomica,1467999X,Hybrid
Microbiology and Immunology,13480421,Hybrid
Microcirculation,15498719,Hybrid
Microscopy Research and Technique,10970029,Hybrid
Microsurgery,10982752,Hybrid
Microwave and Optical Technology Letters,10982760,Hybrid
Middle East Policy,14754967,Hybrid
Milton Quarterly,1094348X,Hybrid
Mind & Language,14680017,Hybrid
"Mind, Brain, and Education",1751228X,Hybrid
Modern Theology,14680025,Hybrid
Molecular Carcinogenesis,10982744,Hybrid
Molecular Ecology,1365294X,Hybrid
Molecular Ecology Resources,17550998,Hybrid
Molecular Informatics,18681751,Hybrid
Molecular Microbiology,13652958,Hybrid
Molecular Nutrition & Food Research,16134133,Hybrid
Molecular Oral Microbiology,20411014,Hybrid
Molecular Reproduction and Development,10982795,Hybrid
Monographs of the Society for Research in Child Development,15405834,Hybrid
Movement Disorders,15318257,Hybrid
Movement Disorders Clinical Practice,23301619,Hybrid
Muscle & Nerve,10974598,Hybrid
Musculoskeletal Care,15570681,Hybrid
Museum Anthropology,15481379,Hybrid
Music Analysis,14682249,Hybrid
Mycoses,14390507,Hybrid
Nations and Nationalism,14698129,Hybrid
Natural Resources Forum,14778947,Hybrid
Natural Sciences Education,21688281,Hybrid
Naval Research Logistics,15206750,Hybrid
Near Surface Geophysics,18730604,Hybrid
Nephrology,14401797,Hybrid
Networks,10970037,Hybrid
Neurogastroenterology & Motility,13652982,Hybrid
Neurology and Clinical Neuroscience,20494173,Hybrid
Neuropathology,14401789,Hybrid
Neuropathology and Applied Neurobiology,13652990,Hybrid
Neurourology and Urodynamics,15206777,Hybrid
New Directions for Adult and Continuing Education,15360717,Hybrid
New Directions for Community Colleges,15360733,Hybrid
New Directions for Evaluation,1534875X,Hybrid
New Directions for Higher Education,15360741,Hybrid
New Directions for Student Leadership,23733357,Hybrid
New Directions for Student Services,15360695,Hybrid
New Directions for Teaching and Learning,15360768,Hybrid
New Phytologist,14698137,Hybrid
"New Technology, Work and Employment",1468005X,Hybrid
New Zealand Geographer,17457939,Hybrid
NMR in Biomedicine,10991492,Hybrid
Nonprofit Management & Leadership,15427854,Hybrid
Nordic Journal of Botany,17561051,Hybrid
Noûs,14680068,Hybrid
Numerical Linear Algebra With Applications,10991506,Hybrid
Numerical Methods for Partial Differential Equations,10982426,Hybrid
Nursing & Health Sciences,14422018,Hybrid
Nursing In Critical Care,14785153,Hybrid
Nursing Inquiry,14401800,Hybrid
Nursing Philosophy,1466769X,Hybrid
Nutrition & Dietetics,17470080,Hybrid
Nutrition Bulletin,14673010,Hybrid
Nutrition in Clinical Practice,19412452,Hybrid
Obesity,1930739X,Hybrid
Obesity Reviews,1467789X,Hybrid
Oceania,18344461,Hybrid
Oikos,16000706,Hybrid
OPEC Energy Review,17530237,Hybrid
Ophthalmic and Physiological Optics,14751313,Hybrid
Optimal Control Applications and Methods,10991514,Hybrid
Oral Diseases,16010825,Hybrid
Oral Science International,18814204,Hybrid
Oral Surgery,1752248X,Hybrid
Orbis Litterarum,16000730,Hybrid
Orthodontics & Craniofacial Research,16016343,Hybrid
Otolaryngology-Head and Neck Surgery,10976817,Hybrid
Oxford Bulletin of Economics and Statistics,14680084,Hybrid
Oxford Journal of Archaeology,14680092,Hybrid
Pacific Economic Review,14680106,Hybrid
Pacific Focus,19765118,Hybrid
Pacific Philosophical Quarterly,14680114,Hybrid
Pacing and Clinical Electrophysiology,15408159,Hybrid
Packaging Technology and Science,10991522,Hybrid
Paediatric and Perinatal Epidemiology,13653016,Hybrid
Pain Practice,15332500,Hybrid
Palaeontology,14754983,Hybrid
Paleoceanography and Paleoclimatology,25724525,Hybrid
Papers in Palaeontology,20562802,Hybrid
Parasite Immunology,13653024,Hybrid
Parliamentary History,17500206,Hybrid
Particle & Particle Systems Characterization,15214117,Hybrid
Pathology International,14401827,Hybrid
Peace & Change,14680130,Hybrid
Pediatric Allergy and Immunology,13993038,Hybrid
Pediatric Anesthesia,14609592,Hybrid
Pediatric Blood & Cancer,15455017,Hybrid
Pediatric Dermatology,15251470,Hybrid
Pediatric Obesity,20476310,Hybrid
Pediatric Pulmonology,10990496,Hybrid
Pediatric Transplantation,13993046,Hybrid
Pediatrics International,1442200X,Hybrid
Peptide Science,24758817,Hybrid
Periodontology 2000,16000757,Hybrid
Permafrost and Periglacial Processes,10991530,Hybrid
Personal Relationships,14756811,Hybrid
Personality and Mental Health,1932863X,Hybrid
Personnel Psychology,17446570,Hybrid
Perspectives On Sexual and Reproductive Health,19312393,Hybrid
Pest Management Science,15264998,Hybrid
Pharmaceutical Statistics,15391612,Hybrid
Pharmacoepidemiology and Drug Safety,10991557,Hybrid
Pharmacotherapy: The Journal of Human Pharmacology and Drug Therapy,18759114,Hybrid
Philosophical Investigations,14679205,Hybrid
Philosophical Issues,17582237,Hybrid
Philosophical Perspectives,15208583,Hybrid
Philosophy & Public Affairs,10884963,Hybrid
Philosophy and Phenomenological Research,19331592,Hybrid
Philosophy Compass,17479991,Hybrid
Photochemistry and Photobiology,17511097,Hybrid
"Photodermatology, Photoimmunology & Photomedicine",16000781,Hybrid
Phycological Research,14401835,Hybrid
physica status solidi (a) applications and materials science,18626319,Hybrid
physica status solidi (b) basic solid state physics,15213951,Hybrid
physica status solidi (RRL) rapid research letters,18626270,Hybrid
Physik in unserer Zeit,15213943,Hybrid
Physiologia Plantarum,13993054,Hybrid
Physiological Entomology,13653032,Hybrid
Physiotherapy Research International,14712865,Hybrid
Phytochemical Analysis,10991565,Hybrid
Phytotherapy Research,10991573,Hybrid
Pigment Cell & Melanoma Research,1755148X,Hybrid
Plant Biology,14388677,Hybrid
Plant Breeding,14390523,Hybrid
Plant Pathology,13653059,Hybrid
Plant Species Biology,14421984,Hybrid
"Plant, Cell & Environment",13653040,Hybrid
Plasma Processes and Polymers,16128869,Hybrid
PM&R,19341563,Hybrid
PoLAR: Political and Legal Anthropology Review,15552934,Hybrid
Policy & Internet,19442866,Hybrid
Policy Studies Journal,15410072,Hybrid
Political Psychology,14679221,Hybrid
Politics & Policy,17471346,Hybrid
Polymer Composites,15480569,Hybrid
Polymer Engineering & Science,15482634,Hybrid
Polymer International,10970126,Hybrid
Polymers for Advanced Technologies,10991581,Hybrid
Popular Culture Review,2831865X,Hybrid
Population and Development Review,17284457,Hybrid
Population Ecology,1438390X,Hybrid
"Population, Space and Place",15448452,Hybrid
Poverty & Public Policy,19442858,Hybrid
Prenatal Diagnosis,10970223,Hybrid
Presidential Studies Quarterly,17415705,Hybrid
Proceedings in Applied Mathematics & Mechanics,16177061,Hybrid
Proceedings of the London Mathematical Society,1460244X,Hybrid
Process Safety Progress,15475913,Hybrid
Progress in Photovoltaics: Research and Applications,1099159X,Hybrid
"Propellants, Explosives, Pyrotechnics",15214087,Hybrid
Protein Science,1469896X,Hybrid
"Proteins: Structure, Function, and Bioinformatics",10970134,Hybrid
Proteomics,16159861,Hybrid
PROTEOMICS - Clinical Applications,18628354,Hybrid
Psychiatry and Clinical Neurosciences,14401819,Hybrid
Psychogeriatrics,14798301,Hybrid
Psychology & Marketing,15206793,Hybrid
"Psychology and Psychotherapy: Theory, Research and Practice",20448341,Hybrid
Psychology in the Schools,15206807,Hybrid
Psycho-Oncology,10991611,Hybrid
Psychophysiology,14698986,Hybrid
Public Administration,14679299,Hybrid
Public Administration and Development,1099162X,Hybrid
Public Administration Review,15406210,Hybrid
Public Budgeting & Finance,15405850,Hybrid
Public Health Nursing,15251446,Hybrid
Quality and Reliability Engineering International,10991638,Hybrid
Quarterly Journal of the Royal Meteorological Society,1477870X,Hybrid
R&D Management,14679310,Hybrid
Radio Science,1944799X,Hybrid
Random Structures & Algorithms,10982418,Hybrid
Rapid Communications in Mass Spectrometry,10970231,Hybrid
Ratio,14679329,Hybrid
Ratio Juris,14679337,Hybrid
Reading Research Quarterly,19362722,Hybrid
Real Estate Economics,15406229,Hybrid
Regulation & Governance,17485991,Hybrid
Religion Compass,17498171,Hybrid
Religious Studies Review,17480922,Hybrid
Remediation,15206831,Hybrid
Renaissance Studies,14774658,Hybrid
Reproduction in Domestic Animals,14390531,Hybrid
Research in Nursing & Health,1098240X,Hybrid
Resource Geology,17513928,Hybrid
Respirology,14401843,Hybrid
Restoration Ecology,1526100X,Hybrid
Review of Development Economics,14679361,Hybrid
Review of Education,20496613,Hybrid
"Review of European, Comparative & International Environmental Law",20500394,Hybrid
Review of Financial Economics,18735924,Hybrid
Review of Income and Wealth,14754991,Hybrid
Review of International Economics,14679396,Hybrid
Review of Policy Research,15411338,Hybrid
Reviews in Aquaculture,17535131,Hybrid
Reviews in Medical Virology,10991654,Hybrid
Reviews in Religion & Theology,14679418,Hybrid
Reviews of Geophysics,19449208,Hybrid
Risk Analysis,15396924,Hybrid
Risk Management and Insurance Review,15406296,Hybrid
"Risk, Hazards & Crisis in Public Policy",19444079,Hybrid
River Research and Applications,15351467,Hybrid
Rural Sociology,15490831,Hybrid
Scandinavian Journal of Caring Sciences,14716712,Hybrid
Scandinavian Journal of Immunology,13653083,Hybrid
Scandinavian Journal of Medicine & Science in Sports,16000838,Hybrid
Scandinavian Journal of Psychology,14679450,Hybrid
Scandinavian Journal of Statistics,14679469,Hybrid
Scandinavian Political Studies,14679477,Hybrid
School Science and Mathematics,19498594,Hybrid
Science Education,1098237X,Hybrid
Scottish Journal of Political Economy,14679485,Hybrid
"Sculpture, Monuments and Open Space",29933439,Hybrid
Security and Privacy,24756725,Hybrid
Sedimentology,13653091,Hybrid
Seminars in Dialysis,1525139X,Hybrid
Separation Science Plus,25731815,Hybrid
"Sexuality, Gender & Policy",26395355,Hybrid
Singapore Journal of Tropical Geography,14679493,Hybrid
Small,16136829,Hybrid
Small Methods,23669608,Hybrid
Social and Personality Psychology Compass,17519004,Hybrid
Social Development,14679507,Hybrid
Social Issues and Policy Review,17512409,Hybrid
Social Policy & Administration,14679515,Hybrid
Social Science Quarterly,15406237,Hybrid
Sociologia Ruralis,14679523,Hybrid
Sociological Forum,15737861,Hybrid
Sociological Inquiry,1475682X,Hybrid
Sociology Compass,17519020,Hybrid
Sociology Lens,14676443,Hybrid
Sociology of Health & Illness,14679566,Hybrid
"Software Testing, Verification & Reliability",10991689,Hybrid
Software: Practice and Experience,1097024X,Hybrid
Soil Science Society of America Journal,14350661,Hybrid
Soil Use and Management,14752743,Hybrid
Solar RRL,2367198X,Hybrid
Sonography,20546750,Hybrid
South African Journal of Economics,18136982,Hybrid
Southern Economic Journal,23258012,Hybrid
Special Care in Dentistry,17544505,Hybrid
Starch - Stärke,1521379X,Hybrid
Stat,20491573,Hybrid
Statistica Neerlandica,14679574,Hybrid
Statistical Analysis and Data Mining,19321872,Hybrid
Statistics in Medicine,10970258,Hybrid
Steel Construction: Design and Research,18670539,Hybrid
Steel Research International,1869344X,Hybrid
Strain,14751305,Hybrid
Strategic Change,10991697,Hybrid
Strategic Entrepreneurship Journal,1932443X,Hybrid
Strategic Management Journal,10970266,Hybrid
Stress and Health,15322998,Hybrid
Structural Concrete,17517648,Hybrid
Studia Linguistica,14679582,Hybrid
Studies in Applied Mathematics,14679590,Hybrid
Studies In Ethnicity and Nationalism,17549469,Hybrid
Studies in Family Planning,17284465,Hybrid
Suicide and Life-Threatening Behavior,1943278X,Hybrid
Support for Learning,14679604,Hybrid
Surface and Interface Analysis,10969918,Hybrid
Surgical Practice,17441633,Hybrid
Sustainable Development,10991719,Hybrid
Swiss Political Science Review,16626370,Hybrid
Symbolic Interaction,15338665,Hybrid
Synapse,10982396,Hybrid
Syntax,14679612,Hybrid
System Dynamics Review,10991727,Hybrid
Systematic Entomology,13653113,Hybrid
Systems Engineering,15206858,Hybrid
Systems Research and Behavioral Science,10991743a,Hybrid
TAXON,19968175,Hybrid
Teaching Statistics,14679639,Hybrid
Teaching Theology & Religion,14679647,Hybrid
Tectonics,19449194,Hybrid
Terra Nova,13653121,Hybrid
TESOL Journal,19493533,Hybrid
TESOL Quarterly,15457249,Hybrid
The American Journal of Economics and Sociology,15367150,Hybrid
The American Journal on Addictions,15210391,Hybrid
The Anatomical Record,19328494,Hybrid
The Australian Economic Review,14678462,Hybrid
The Australian Journal of Agricultural and Resource Economics,14678489,Hybrid
The Australian Journal of Anthropology,17576547,Hybrid
The British Journal of Sociology,14684446,Hybrid
The Canadian Journal of Chemical Engineering,1939019X,Hybrid
The Canadian Journal of Statistics/La revue canadienne de statistique,1708945X,Hybrid
The Career Development Quarterly,21610045,Hybrid
The Chemical Record,15280691,Hybrid
The Clinical Teacher,1743498X,Hybrid
The Curriculum Journal,14693704,Hybrid
The Developing Economies,17461049,Hybrid
The Economic History Review,14680289,Hybrid
The Ecumenical Review,17586623,Hybrid
The Electronic Journal of Information Systems in Developing Countries,16814835,Hybrid
The FASEB Journal,15306860,Hybrid
The FEBS Journal,17424658,Hybrid
The Financial Review,15406288,Hybrid
The Geographical Journal,14754959,Hybrid
The German Quarterly,17561183,Hybrid
The Heythrop Journal,14682265,Hybrid
The Howard Journal of Crime and Justice,20591101,Hybrid
The International Journal of Health Planning and Management,10991751,Hybrid
The International Journal of Medical Robotics and Computer Assisted Surgery,1478596X,Hybrid
The Journal of American Culture,1542734X,Hybrid
The Journal of Clinical Pharmacology,15524604,Hybrid
The Journal of Comparative Neurology,10969861,Hybrid
The Journal of Creative Behavior,21626057,Hybrid
The Journal of Dermatology,13468138,Hybrid
The Journal of Finance,15406261,Hybrid
The Journal of Futures Markets,10969934,Hybrid
The Journal of Gene Medicine,15212254,Hybrid
The Journal of Humanistic Counseling,21611939,Hybrid
The Journal of Industrial Economics,14676451,Hybrid
The Journal of Latin American and Caribbean Anthropology,19354940,Hybrid
The Journal of Pathology,10969896,Hybrid
The Journal of Physiology,14697793,Hybrid
The Journal of Political Philosophy,14679760,Hybrid
The Journal of Popular Culture,15405931,Hybrid
The Journal of Rural Health,17480361,Hybrid
The Journal of Wildlife Management,19372817,Hybrid
The Journal of World Intellectual Property,17471796,Hybrid
The Laryngoscope,15314995,Hybrid
The Manchester School,14679957,Hybrid
The Milbank Quarterly,14680009,Hybrid
The Modern Language Journal,15404781,Hybrid
The Modern Law Review,14682230,Hybrid
The Muslim World,14781913,Hybrid
The Obstetrician & Gynaecologist,17444667,Hybrid
The Philosophical Forum,14679191,Hybrid
The Photogrammetric Record,14779730,Hybrid
The Plant Journal,1365313X,Hybrid
The Political Quarterly,1467923X,Hybrid
The Prostate,10970045,Hybrid
The RAND Journal of Economics,17562171,Hybrid
The Reading Teacher,19362714,Hybrid
The Russian Review,14679434,Hybrid
The Scandinavian Journal of Economics,14679442,Hybrid
The Southern Journal of Philosophy,20416962,Hybrid
The Structural Design of Tall and Special Buildings,15417808,Hybrid
The World Economy,14679701,Hybrid
Theoria,17552567,Hybrid
Therapeutic Apheresis and Dialysis,17449987,Hybrid
Thunderbird International Business Review,15206874,Hybrid
Tijdschrift voor Economische en Sociale Geografie,14679663,Hybrid
Topics in Cognitive Science,17568765,Hybrid
Traditional & Kampo Medicine,20534515,Hybrid
Traffic,16000854,Hybrid
Transactions in GIS,14679671,Hybrid
Transactions of the Institute of British Geographers,14755661,Hybrid
Transactions of the Philological Society,1467968X,Hybrid
Transactions on Emerging Telecommunications Technologies,21613915,Hybrid
Transfusion,15372995,Hybrid
Transfusion Medicine,13653148,Hybrid
Transplant Infectious Disease,13993062,Hybrid
Transportation Journal,2157328X,Hybrid
Tropical Medicine & International Health,13653156,Hybrid
Ultrasound in Obstetrics & Gynecology,14690705,Hybrid
Veterinary and Comparative Oncology,14765829,Hybrid
Veterinary Clinical Pathology,1939165X,Hybrid
Veterinary Dermatology,13653164,Hybrid
Veterinary Ophthalmology,14635224,Hybrid
Veterinary Radiology & Ultrasound,17408261,Hybrid
Veterinary Record,20427670,Hybrid
Veterinary Record Case Reports,20526121,Hybrid
Veterinary Surgery,1532950X,Hybrid
Vietnam Journal of Chemistry,25728288,Hybrid
Visual Anthropology Review,15487458,Hybrid
Vox Sanguinis,14230410,Hybrid
Water and Environment Journal,17476593,Hybrid
Water Environment Research,15547531,Hybrid
Weather,14778696,Hybrid
Weed Biology and Management,14456664,Hybrid
Weed Research,13653180,Hybrid
Wildlife Monographs,19385455,Hybrid
