Order (# NIH papers 01-07/2025),Journal,ISSN1,ISSN2,ISSN3,ISSN4,Publisher,Publications acknowledging NIH funding (01-07/2025),Journal OA status,Publisher type,APC 2025 (USD),APC category,Total APCs (based on 01-07/2025),APCs covered by $2k cap,% covered by $2k cap,APCs not covered by $2k cap,APCs covered by $3k cap,% covered by $3k cap,APCs not covered by $3k cap,APCs covered by $6 cap,% covered by $6 cap,APCs not covered by $6 cap
505,Cell Chemical Biology,2451-9456,2451-9448,,,Elsevier,26,hybrid,for profit,9350,"$9,001-$10,000",243100,52000,0.213903743,191100,78000,0.320855615,165100,156000,0.64171123,87100
506,Frontiers in Cardiovascular Medicine,2297-055X,,,,Frontiers,26,gold,for profit,3906,"$3,001-$4,000",101556,52000,0.51203277,49556,78000,0.768049155,23556,101556,1,0
507,Frontiers in Digital Health,2673-253X,,,,Frontiers,26,gold,for profit,3162,"$3,001-$4,000",82212,52000,0.632511069,30212,78000,0.948766603,4212,82212,1,0
508,Frontiers in Cellular Neuroscience,1662-5102,,,,Frontiers,26,gold,for profit,3906,"$3,001-$4,000",101556,52000,0.51203277,49556,78000,0.768049155,23556,101556,1,0
509,Sleep Medicine,1389-9457,1878-5506,,,Elsevier,26,hybrid,for profit,4350,"$4,001-$5,000",113100,52000,0.459770115,61100,78000,0.689655172,35100,113100,1,0
510,Seminars in Arthritis and Rheumatism,0049-0172,1532-866X,,,Elsevier,26,hybrid,for profit,4370,"$4,001-$5,000",113620,52000,0.457665904,61620,78000,0.686498856,35620,113620,1,0
511,Environmental Epidemiology,2474-7882,,,,Wolters Kluwer,26,gold,for profit,1400,"$1,001-$2,000",36400,36400,1,0,36400,1,0,36400,1,0
512,Blood Neoplasia,2950-3280,,,,Elsevier,26,gold,for profit,3000,"$2,001-$3,000",78000,52000,0.666666667,26000,78000,1,0,78000,1,0
513,Analytical and Bioanalytical Chemistry,1618-2642,1618-2650,,,Springer Nature,26,hybrid,for profit,3990,"$3,001-$4,000",103740,52000,0.501253133,51740,78000,0.751879699,25740,103740,1,0
514,JAACAP Open,2949-7329,,,,Elsevier,26,gold,for profit,2600,"$2,001-$3,000",67600,52000,0.769230769,15600,67600,1,0,67600,1,0
515,The Journal of the Acoustical Society of America,0001-4966,1520-8524,,,Acoustical Society of America (ASA),26,hybrid,not for profit,2600,"$2,001-$3,000",67600,52000,0.769230769,15600,67600,1,0,67600,1,0
516,The Lancet HIV,2352-3018,2405-4704,,,Elsevier,26,hybrid,for profit,7280,"$7,001-$8,000",189280,52000,0.274725275,137280,78000,0.412087912,111280,156000,0.824175824,33280
517,Sleep Health,2352-7218,2352-7226,,,Elsevier,26,hybrid,for profit,3000,"$2,001-$3,000",78000,52000,0.666666667,26000,78000,1,0,78000,1,0
518,European Heart Journal,0195-668X,1522-9645,,,Oxford University Press (OUP),26,hybrid,not for profit,6130.8,"$6,001-$7,000",159400.8,52000,0.3262217,107400.8,78000,0.48933255,81400.8,156000,0.978665101,3400.8
519,Neurology,0028-3878,1526-632X,,,Wolters Kluwer,25,hybrid,for profit,4900,"$4,001-$5,000",122500,50000,0.408163265,72500,75000,0.612244898,47500,122500,1,0
520,BMC Bioinformatics,1471-2105,,,,Springer Nature,25,gold,for profit,2990,"$2,001-$3,000",74750,50000,0.668896321,24750,74750,1,0,74750,1,0
521,Circulation,0009-7322,1524-4539,,,Wolters Kluwer,25,hybrid,for profit,5400,"$5,001-$6,000",135000,50000,0.37037037,85000,75000,0.555555556,60000,135000,1,0
522,Gastro Hep Advances,2772-5723,,,,Elsevier,25,gold,for profit,2000,"$1,001-$2,000",50000,50000,1,0,50000,1,0,50000,1,0
523,Current Opinion in Genetics & Development,0959-437X,1879-0380,,,Elsevier,25,hybrid,for profit,4200,"$4,001-$5,000",105000,50000,0.476190476,55000,75000,0.714285714,30000,105000,1,0
524,Frontiers in Psychology,1664-1078,,,,Frontiers,25,gold,for profit,3906,"$3,001-$4,000",97650,50000,0.51203277,47650,75000,0.768049155,22650,97650,1,0
525,Urologic Oncology Seminars and Original Investigations,1078-1439,1873-2496,,,Elsevier,25,hybrid,for profit,3440,"$3,001-$4,000",86000,50000,0.581395349,36000,75000,0.872093023,11000,86000,1,0
526,Frontiers in Microbiology,1664-302X,,,,Frontiers,25,gold,for profit,3906,"$3,001-$4,000",97650,50000,0.51203277,47650,75000,0.768049155,22650,97650,1,0
527,Ecology and Evolution,2045-7758,,,,Wiley,25,gold,for profit,2570,"$2,001-$3,000",64250,50000,0.778210117,14250,64250,1,0,64250,1,0
528,ACS Central Science,2374-7943,2374-7951,,,American Chemical Society (ACS),25,gold (diamond),not for profit,0,0,0,0,1,0,0,1,0,0,1,0
529,Mucosal Immunology,1933-0219,1935-3456,,,Elsevier,25,gold,for profit,4370,"$4,001-$5,000",109250,50000,0.457665904,59250,75000,0.686498856,34250,109250,1,0
530,Nature Human Behaviour,2397-3374,,,,Springer Nature,25,hybrid,for profit,12690,"$12,001-$13,000",317250,50000,0.157604413,267250,75000,0.236406619,242250,150000,0.472813239,167250
531,JAMA Ophthalmology,2168-6165,2168-6173,,,American Medical Association (AMA),25,hybrid,not for profit,6000,"$5,001-$6,000",150000,50000,0.333333333,100000,75000,0.5,75000,150000,1,0
532,BMC Pregnancy and Childbirth,1471-2393,,,,Springer Nature,25,gold,for profit,3290,"$3,001-$4,000",82250,50000,0.607902736,32250,75000,0.911854103,7250,82250,1,0
533,Hormones and Behavior,0018-506X,1095-6867,,,Elsevier,25,hybrid,for profit,3640,"$3,001-$4,000",91000,50000,0.549450549,41000,75000,0.824175824,16000,91000,1,0
534,ESMO Open,2059-7029,,,,Elsevier,25,gold,for profit,3910,"$3,001-$4,000",97750,50000,0.511508951,47750,75000,0.767263427,22750,97750,1,0
535,Substance Abuse,0889-7077,1547-0164,2976-7342,2976-7350,SAGE Publications,25,gold,for profit,2800,"$2,001-$3,000",70000,50000,0.714285714,20000,70000,1,0,70000,1,0
536,JAMA Neurology,2168-6149,2168-6157,,,American Medical Association (AMA),25,hybrid,not for profit,6000,"$5,001-$6,000",150000,50000,0.333333333,100000,75000,0.5,75000,150000,1,0
537,Trends in Biochemical Sciences,0968-0004,1362-4326,,,Elsevier,25,hybrid,for profit,7030,"$7,001-$8,000",175750,50000,0.284495021,125750,75000,0.426742532,100750,150000,0.853485064,25750
538,Biomedicine & Pharmacotherapy,0753-3322,1950-6007,,,Elsevier,25,gold,for profit,3610,"$3,001-$4,000",90250,50000,0.55401662,40250,75000,0.831024931,15250,90250,1,0
539,Molecular Cancer Research,1541-7786,1557-3125,,,American Association for Cancer Research (AACR),25,hybrid,not for profit,7000,"$6,001-$7,000",175000,50000,0.285714286,125000,75000,0.428571429,100000,150000,0.857142857,25000
540,Psychology of Sexual Orientation and Gender Diversity,2329-0382,2329-0390,,,American Psychological Association (APA),25,hybrid,not for profit,3000,"$2,001-$3,000",75000,50000,0.666666667,25000,75000,1,0,75000,1,0
541,AJP Regulatory Integrative and Comparative Physiology,0363-6119,1522-1490,,,American Physiological Society,25,S2O,not for profit,0,0,0,0,1,0,0,1,0,0,1,0
542,Neuroscience,0306-4522,1873-7544,,,Elsevier,25,hybrid,for profit,3500,"$3,001-$4,000",87500,50000,0.571428571,37500,75000,0.857142857,12500,87500,1,0
543,Journal of Aging and Health,0898-2643,1552-6887,,,SAGE Publications,25,hybrid,for profit,4400,"$4,001-$5,000",110000,50000,0.454545455,60000,75000,0.681818182,35000,110000,1,0
544,European Journal of Neuroscience,0953-816X,1460-9568,,,Wiley,25,hybrid,for profit,3560,"$3,001-$4,000",89000,50000,0.561797753,39000,75000,0.842696629,14000,89000,1,0
545,JBMR Plus,2473-4039,,,,Oxford University Press (OUP),25,gold,not for profit,2888,"$2,001-$3,000",72200,50000,0.692520776,22200,72200,1,0,72200,1,0
546,Journal of Sleep Research,0962-1105,1365-2869,,,Wiley,25,hybrid,for profit,4340,"$4,001-$5,000",108500,50000,0.460829493,58500,75000,0.69124424,33500,108500,1,0
547,Epilepsy & Behavior,1525-5050,1525-5069,,,Elsevier,25,hybrid,for profit,3060,"$3,001-$4,000",76500,50000,0.653594771,26500,75000,0.980392157,1500,76500,1,0
548,Critical Care Explorations,2639-8028,,,,Wolters Kluwer,25,gold,for profit,2000,"$1,001-$2,000",50000,50000,1,0,50000,1,0,50000,1,0
549,The Journal of Heart and Lung Transplantation,1053-2498,1557-3117,,,Elsevier,25,hybrid,for profit,3606,"$3,001-$4,000",90150,50000,0.55463117,40150,75000,0.831946755,15150,90150,1,0
550,Bone,8756-3282,1873-2763,,,Elsevier,24,hybrid,for profit,3960,"$3,001-$4,000",95040,48000,0.505050505,47040,72000,0.757575758,23040,95040,1,0
551,Kidney International,0085-2538,1523-1755,,,Elsevier,24,hybrid,for profit,3500,"$3,001-$4,000",84000,48000,0.571428571,36000,72000,0.857142857,12000,84000,1,0
552,Prevention Science,1389-4986,1573-6695,,,Springer Nature,24,hybrid,for profit,3790,"$3,001-$4,000",90960,48000,0.527704485,42960,72000,0.791556728,18960,90960,1,0
553,Osteoarthritis and Cartilage,1063-4584,1522-9653,,,Elsevier,24,hybrid,for profit,3700,"$3,001-$4,000",88800,48000,0.540540541,40800,72000,0.810810811,16800,88800,1,0
554,Hearing Research,0378-5955,1878-5891,,,Elsevier,24,hybrid,for profit,4130,"$4,001-$5,000",99120,48000,0.484261501,51120,72000,0.726392252,27120,99120,1,0
555,ImmunoHorizons,2573-7732,,,,Oxford University Press (OUP),24,gold,not for profit,1700,"$1,001-$2,000",40800,40800,1,0,40800,1,0,40800,1,0
556,Neuroscience & Biobehavioral Reviews,0149-7634,1873-7528,,,Elsevier,24,hybrid,for profit,4860,"$4,001-$5,000",116640,48000,0.411522634,68640,72000,0.617283951,44640,116640,1,0
557,The Lancet Neurology,1474-4422,1474-4465,,,Elsevier,24,hybrid,for profit,7280,"$7,001-$8,000",174720,48000,0.274725275,126720,72000,0.412087912,102720,144000,0.824175824,30720
558,Medical Image Analysis,1361-8415,1361-8423,,,Elsevier,24,hybrid,for profit,4170,"$4,001-$5,000",100080,48000,0.479616307,52080,72000,0.71942446,28080,100080,1,0
559,Molecular Cancer Therapeutics,1535-7163,1538-8514,,,American Association for Cancer Research (AACR),24,hybrid,not for profit,7000,"$6,001-$7,000",168000,48000,0.285714286,120000,72000,0.428571429,96000,144000,0.857142857,24000
560,Journal of Medical Virology,0146-6615,1096-9071,,,Wiley,24,hybrid,for profit,4730,"$4,001-$5,000",113520,48000,0.422832981,65520,72000,0.634249471,41520,113520,1,0
561,Surgery,0039-6060,1532-7361,,,Elsevier,24,hybrid,for profit,4130,"$4,001-$5,000",99120,48000,0.484261501,51120,72000,0.726392252,27120,99120,1,0
562,Journal of Cachexia Sarcopenia and Muscle,2190-5991,2190-6009,,,Wiley,24,gold,for profit,5400,"$5,001-$6,000",129600,48000,0.37037037,81600,72000,0.555555556,57600,129600,1,0
563,Child Abuse & Neglect,0145-2134,1873-7757,,,Elsevier,24,hybrid,for profit,4050,"$4,001-$5,000",97200,48000,0.49382716,49200,72000,0.740740741,25200,97200,1,0
564,Oncogene,0950-9232,1476-5594,,,Springer Nature,24,hybrid,for profit,5990,"$5,001-$6,000",143760,48000,0.333889816,95760,72000,0.500834725,71760,143760,1,0
565,Pediatric Pulmonology,8755-6863,1099-0496,,,Wiley,24,hybrid,for profit,4740,"$4,001-$5,000",113760,48000,0.421940928,65760,72000,0.632911392,41760,113760,1,0
566,Genome Medicine,1756-994X,,,,Springer Nature,24,gold,for profit,5290,"$5,001-$6,000",126960,48000,0.378071834,78960,72000,0.56710775,54960,126960,1,0
567,American Journal of Kidney Diseases,0272-6386,1523-6838,,,Elsevier,24,hybrid,for profit,3900,"$3,001-$4,000",93600,48000,0.512820513,45600,72000,0.769230769,21600,93600,1,0
568,Parkinsonism & Related Disorders,1353-8020,1873-5126,,,Elsevier,24,hybrid,for profit,3460,"$3,001-$4,000",83040,48000,0.578034682,35040,72000,0.867052023,11040,83040,1,0
569,IEEE Journal of Biomedical and Health Informatics,2168-2194,2168-2208,,,Institute of Electrical and Electronics Engineers (IEEE),24,hybrid,not for profit,2645,"$2,001-$3,000",63480,48000,0.756143667,15480,63480,1,0,63480,1,0
570,Cultural Diversity & Ethnic Minority Psychology,1099-9809,1939-0106,,,American Psychological Association (APA),24,hybrid,not for profit,3000,"$2,001-$3,000",72000,48000,0.666666667,24000,72000,1,0,72000,1,0
571,Applied and Environmental Microbiology,0099-2240,1098-5336,,,American Society for Microbiology,24,S2O,not for profit,2100,"$2,001-$3,000",50400,48000,0.952380952,2400,50400,1,0,50400,1,0
572,Journal of Materials Chemistry B,2050-750X,2050-7518,,,Royal Society of Chemistry (RSC),24,hybrid,not for profit,4067,"$4,001-$5,000",97608,48000,0.49176297,49608,72000,0.737644455,25608,97608,1,0
573,Behavioral Sciences,2076-328X,2076-328X,,,MDPI,24,gold,for profit,2750,"$2,001-$3,000",66000,48000,0.727272727,18000,66000,1,0,66000,1,0
574,The Oncologist,1083-7159,1549-490X,,,Oxford University Press (OUP),24,gold,not for profit,3852,"$3,001-$4,000",92448,48000,0.5192108,44448,72000,0.778816199,20448,92448,1,0
575,Annals of Behavioral Medicine,0883-6612,1532-4796,,,Oxford University Press (OUP),24,hybrid,not for profit,4433,"$4,001-$5,000",106392,48000,0.451161741,58392,72000,0.676742612,34392,106392,1,0
576,Research on Child and Adolescent Psychopathology,2730-7166,2730-7174,,,Springer Nature,24,hybrid,for profit,2990,"$2,001-$3,000",71760,48000,0.668896321,23760,71760,1,0,71760,1,0
577,Trends in Cell Biology,0962-8924,1879-3088,,,Elsevier,24,hybrid,for profit,7030,"$7,001-$8,000",168720,48000,0.284495021,120720,72000,0.426742532,96720,144000,0.853485064,24720
578,Kidney Medicine,2590-0595,,,,Elsevier,23,gold,for profit,2590,"$2,001-$3,000",59570,46000,0.772200772,13570,59570,1,0,59570,1,0
579,Rheumatology,1462-0324,1462-0332,,,Oxford University Press (OUP),23,hybrid,not for profit,4706.1,"$4,001-$5,000",108240.3,46000,0.424980345,62240.3,69000,0.637470517,39240.3,108240.3,1,0
580,Frontiers in Human Neuroscience,1662-5161,,,,Frontiers,23,gold,for profit,3906,"$3,001-$4,000",89838,46000,0.51203277,43838,69000,0.768049155,20838,89838,1,0
581,Trends in Cancer,2405-8033,2405-8025,,,Elsevier,23,hybrid,for profit,7030,"$7,001-$8,000",161690,46000,0.284495021,115690,69000,0.426742532,92690,138000,0.853485064,23690
582,Aging,0002-0966,1945-4589,,,Impact Journals,23,gold,for profit,3850,"$3,001-$4,000",88550,46000,0.519480519,42550,69000,0.779220779,19550,88550,1,0
583,Journal of Medical Imaging,2329-4302,2329-4310,,,"SPIE, the international society for optics and photonics",23,hybrid,not for profit,1675,"$1,001-$2,000",38525,38525,1,0,38525,1,0,38525,1,0
584,JAMIA Open,2574-2531,,,,Oxford University Press (OUP),23,gold,not for profit,3762,"$3,001-$4,000",86526,46000,0.531632111,40526,69000,0.797448166,17526,86526,1,0
585,Innovation in Aging,2399-5300,,,,Oxford University Press (OUP),23,gold,not for profit,3977,"$3,001-$4,000",91471,46000,0.502891627,45471,69000,0.75433744,22471,91471,1,0
586,Brain Behavior & Immunity - Health,2666-3546,,,,Elsevier,23,gold,for profit,2890,"$2,001-$3,000",66470,46000,0.692041522,20470,66470,1,0,66470,1,0
587,Resuscitation,0300-9572,1873-1570,,,Elsevier,23,hybrid,for profit,4490,"$4,001-$5,000",103270,46000,0.445434298,57270,69000,0.668151448,34270,103270,1,0
588,Research and Practice in Thrombosis and Haemostasis,2475-0379,,,,Elsevier,23,gold,for profit,2250,"$2,001-$3,000",51750,46000,0.888888889,5750,51750,1,0,51750,1,0
589,JTCVS Open,2666-2736,,,,Elsevier,23,gold,for profit,2431,"$2,001-$3,000",55913,46000,0.822706705,9913,55913,1,0,55913,1,0
590,Langmuir,0743-7463,1520-5827,,,American Chemical Society (ACS),23,hybrid,not for profit,4500,"$4,001-$5,000",103500,46000,0.444444444,57500,69000,0.666666667,34500,103500,1,0
591,JAMA Otolaryngology - Head & Neck Surgery,2168-6181,2168-619X,,,American Medical Association (AMA),23,hybrid,not for profit,6000,"$5,001-$6,000",138000,46000,0.333333333,92000,69000,0.5,69000,138000,1,0
592,Drug and Alcohol Dependence Reports,2772-7246,,,,Elsevier,23,gold,for profit,2120,"$2,001-$3,000",48760,46000,0.943396226,2760,48760,1,0,48760,1,0
593,Arthritis Care & Research,2151-464X,2151-4658,,,Wiley,23,hybrid,for profit,4640,"$4,001-$5,000",106720,46000,0.431034483,60720,69000,0.646551724,37720,106720,1,0
594,Journal of Natural Products,0163-3864,1520-6025,,,American Chemical Society (ACS),23,hybrid,not for profit,4500,"$4,001-$5,000",103500,46000,0.444444444,57500,69000,0.666666667,34500,103500,1,0
595,American Journal of Geriatric Psychiatry,1064-7481,1545-7214,,,Elsevier,22,hybrid,for profit,4400,"$4,001-$5,000",96800,44000,0.454545455,52800,66000,0.681818182,30800,96800,1,0
596,Journal of Urban Health,1099-3460,1468-2869,,,Springer Nature,22,hybrid,for profit,4790,"$4,001-$5,000",105380,44000,0.417536534,61380,66000,0.626304802,39380,105380,1,0
597,Journal of Mood and Anxiety Disorders,2950-0044,,,,Elsevier,22,gold,for profit,2700,"$2,001-$3,000",59400,44000,0.740740741,15400,59400,1,0,59400,1,0
598,Digestive Diseases and Sciences,0163-2116,1573-2568,,,Springer Nature,22,hybrid,for profit,4390,"$4,001-$5,000",96580,44000,0.455580866,52580,66000,0.683371298,30580,96580,1,0
599,The American Journal of Drug and Alcohol Abuse,0095-2990,1097-9891,,,Taylor & Francis,22,hybrid,for profit,4000,"$3,001-$4,000",88000,44000,0.5,44000,66000,0.75,22000,88000,1,0
600,Parasites & Vectors,1756-3305,,,,Springer Nature,22,gold,for profit,3090,"$3,001-$4,000",67980,44000,0.647249191,23980,66000,0.970873786,1980,67980,1,0
601,Heliyon,1879-4378,2405-8440,,,Elsevier,22,gold,for profit,2270,"$2,001-$3,000",49940,44000,0.881057269,5940,49940,1,0,49940,1,0
602,Journal of Cancer Education,0885-8195,1543-0154,,,Springer Nature,22,hybrid,for profit,3790,"$3,001-$4,000",83380,44000,0.527704485,39380,66000,0.791556728,17380,83380,1,0
603,Alimentary Pharmacology & Therapeutics,0269-2813,1365-2036,,,Wiley,22,hybrid,for profit,5250,"$5,001-$6,000",115500,44000,0.380952381,71500,66000,0.571428571,49500,115500,1,0
604,EMBO Molecular Medicine,1757-4676,1757-4684,,,Springer Nature,22,gold,for profit,7990,"$7,001-$8,000",175780,44000,0.250312891,131780,66000,0.375469337,109780,132000,0.750938673,43780
605,Biology Open,2046-6390,,,,The Company of Biologists,22,gold,not for profit,2200,"$2,001-$3,000",48400,44000,0.909090909,4400,48400,1,0,48400,1,0
606,Journal of Palliative Medicine,1096-6218,1557-7740,,,Mary Ann Liebert,22,hybrid,for profit,4000,"$3,001-$4,000",88000,44000,0.5,44000,66000,0.75,22000,88000,1,0
607,American Journal of Hematology,0361-8609,1096-8652,,,Wiley,22,hybrid,for profit,5450,"$5,001-$6,000",119900,44000,0.366972477,75900,66000,0.550458716,53900,119900,1,0
608,Journal of Surgical Oncology,0022-4790,1096-9098,,,Wiley,22,hybrid,for profit,4570,"$4,001-$5,000",100540,44000,0.437636761,56540,66000,0.656455142,34540,100540,1,0
609,Applied Sciences,2076-3417,,,,MDPI,22,gold,for profit,3000,"$2,001-$3,000",66000,44000,0.666666667,22000,66000,1,0,66000,1,0
610,Journal of Neurodevelopmental Disorders,1866-1947,1866-1955,,,Springer Nature,22,gold,for profit,2990,"$2,001-$3,000",65780,44000,0.668896321,21780,65780,1,0,65780,1,0
611,International Journal of Gynecological Cancer,1048-891X,1525-1438,,,Elsevier,22,hybrid,for profit,3800,"$3,001-$4,000",83600,44000,0.526315789,39600,66000,0.789473684,17600,83600,1,0
612,American Journal of Tropical Medicine and Hygiene,0002-9637,1476-1645,,,American Society of Tropical Medicine and Hygiene,22,hybrid,not for profit,3000,"$2,001-$3,000",66000,44000,0.666666667,22000,66000,1,0,66000,1,0
613,Addiction Science & Clinical Practice,1940-0632,1940-0640,,,Springer Nature,22,gold,for profit,2890,"$2,001-$3,000",63580,44000,0.692041522,19580,63580,1,0,63580,1,0
614,The Annals of Thoracic Surgery,0003-4975,1552-6259,,,Elsevier,22,hybrid,for profit,3200,"$3,001-$4,000",70400,44000,0.625,26400,66000,0.9375,4400,70400,1,0
615,Journal of Applied Clinical Medical Physics,1526-9914,,,,Wiley,22,gold,for profit,900,"$1-$1,000",19800,19800,1,0,19800,1,0,19800,1,0
616,Pregnancy,2997-9684,,,,Wiley,22,gold,for profit,2225,"$2,001-$3,000",48950,44000,0.898876404,4950,48950,1,0,48950,1,0
617,Biology,2079-7737,2079-7737,,,MDPI,22,gold,for profit,3375,"$3,001-$4,000",74250,44000,0.592592593,30250,66000,0.888888889,8250,74250,1,0
618,Developmental Psychobiology,0012-1630,1098-2302,,,Wiley,22,hybrid,for profit,3760,"$3,001-$4,000",82720,44000,0.531914894,38720,66000,0.79787234,16720,82720,1,0
619,Statistical Methods in Medical Research,0962-2802,1477-0334,,,SAGE Publications,22,hybrid,for profit,4400,"$4,001-$5,000",96800,44000,0.454545455,52800,66000,0.681818182,30800,96800,1,0
620,Cancer Immunology Research,2326-6066,2326-6074,,,American Association for Cancer Research (AACR),22,hybrid,not for profit,8000,"$7,001-$8,000",176000,44000,0.25,132000,66000,0.375,110000,132000,0.75,44000
621,Developmental Dynamics,1058-8388,1097-0177,,,Wiley,22,hybrid,for profit,4430,"$4,001-$5,000",97460,44000,0.451467269,53460,66000,0.677200903,31460,97460,1,0
622,Epidemiology,1044-3983,1531-5487,,,Wolters Kluwer,21,hybrid,for profit,4900,"$4,001-$5,000",102900,42000,0.408163265,60900,63000,0.612244898,39900,102900,1,0
623,International Journal of Pharmaceutics,0378-5173,1873-3476,,,Elsevier,21,hybrid,for profit,4650,"$4,001-$5,000",97650,42000,0.430107527,55650,63000,0.64516129,34650,97650,1,0
624,Medicine & Science in Sports & Exercise,0195-9131,1530-0315,,,Wolters Kluwer,21,hybrid,for profit,4900,"$4,001-$5,000",102900,42000,0.408163265,60900,63000,0.612244898,39900,102900,1,0
625,Journal of Cognitive Neuroscience,0898-929X,1530-8898,,,MIT Press,21,hybrid,not for profit,1250,"$1-$1,000",26250,26250,1,0,26250,1,0,26250,1,0
626,JCO Oncology Practice,2688-1527,2688-1535,,,American Society of Clinical Oncology (ASCO),21,hybrid,not for profit,5500,"$5,001-$6,000",115500,42000,0.363636364,73500,63000,0.545454545,52500,115500,1,0
627,Journal of the American College of Emergency Physicians Open,2688-1152,,,,Elsevier,21,gold,for profit,2600,"$2,001-$3,000",54600,42000,0.769230769,12600,54600,1,0,54600,1,0
628,Pulmonary Circulation,2045-8932,2045-8940,,,Wiley,21,gold,for profit,2310,"$2,001-$3,000",48510,42000,0.865800866,6510,48510,1,0,48510,1,0
629,Pediatric Critical Care Medicine,1529-7535,1947-3893,,,Wolters Kluwer,21,hybrid,for profit,4700,"$4,001-$5,000",98700,42000,0.425531915,56700,63000,0.638297872,35700,98700,1,0
630,Ultrasound in Medicine & Biology,0301-5629,1879-291X,,,Elsevier,21,hybrid,for profit,2650,"$2,001-$3,000",55650,42000,0.754716981,13650,55650,1,0,55650,1,0
631,Journal of Behavioral Medicine,0160-7715,1573-3521,,,Springer Nature,21,hybrid,for profit,4790,"$4,001-$5,000",100590,42000,0.417536534,58590,63000,0.626304802,37590,100590,1,0
632,Schizophrenia,2334-265X,2754-6993,,,Springer Nature,21,gold,for profit,3890,"$3,001-$4,000",81690,42000,0.514138817,39690,63000,0.771208226,18690,81690,1,0
633,Clinical Transplantation,0902-0063,1399-0012,,,Wiley,21,hybrid,for profit,4550,"$4,001-$5,000",95550,42000,0.43956044,53550,63000,0.659340659,32550,95550,1,0
634,Journal of Dental Research,0022-0345,1544-0591,,,SAGE Publications,21,hybrid,for profit,4400,"$4,001-$5,000",92400,42000,0.454545455,50400,63000,0.681818182,29400,92400,1,0
635,Journal of Pediatric Psychology,0146-8693,1465-735X,,,Oxford University Press (OUP),21,hybrid,not for profit,4332,"$4,001-$5,000",90972,42000,0.461680517,48972,63000,0.692520776,27972,90972,1,0
636,Pediatric Neurology,0887-8994,1873-5150,,,Elsevier,21,hybrid,for profit,3520,"$3,001-$4,000",73920,42000,0.568181818,31920,63000,0.852272727,10920,73920,1,0
637,Western Journal of Nursing Research,0193-9459,1552-8456,,,SAGE Publications,21,hybrid,for profit,4150,"$4,001-$5,000",87150,42000,0.481927711,45150,63000,0.722891566,24150,87150,1,0
638,Journal of Biomedical Materials Research Part A,1549-3296,1552-4965,,,Wiley,21,hybrid,for profit,4220,"$4,001-$5,000",88620,42000,0.473933649,46620,63000,0.710900474,25620,88620,1,0
639,npj Aging,2056-3973,2731-6068,,,Springer Nature,21,gold,for profit,3690,"$3,001-$4,000",77490,42000,0.54200542,35490,63000,0.81300813,14490,77490,1,0
640,Journal of Neurotrauma,0897-7151,1557-9042,,,Mary Ann Liebert,21,hybrid,for profit,4000,"$3,001-$4,000",84000,42000,0.5,42000,63000,0.75,21000,84000,1,0
641,Philosophical Transactions of the Royal Society B Biological Sciences,0962-8436,1471-2970,,,The Royal Society,21,hybrid,not for profit,2795,"$2,001-$3,000",58695,42000,0.715563506,16695,58695,1,0,58695,1,0
642,Circulation Cardiovascular Quality and Outcomes,1941-7713,1941-7705,,,Wolters Kluwer,21,hybrid,for profit,5400,"$5,001-$6,000",113400,42000,0.37037037,71400,63000,0.555555556,50400,113400,1,0
643,Journal of Visualized Experiments,1940-087X,,,,MyJove,21,hybrid,for profit,1800,"$1,001-$2,000",37800,37800,1,0,37800,1,0,37800,1,0
644,Current Opinion in Immunology,0952-7915,1879-0372,,,Elsevier,21,hybrid,for profit,4410,"$4,001-$5,000",92610,42000,0.453514739,50610,63000,0.680272109,29610,92610,1,0
645,Current Addiction Reports,2196-2952,,,,Springer Nature,21,hybrid,for profit,4790,"$4,001-$5,000",100590,42000,0.417536534,58590,63000,0.626304802,37590,100590,1,0
646,Current Developments in Nutrition,2475-2991,,,,Elsevier,21,gold,for profit,5000,"$4,001-$5,000",105000,42000,0.4,63000,63000,0.6,42000,105000,1,0
647,Antiviral Research,0166-3542,1872-9096,,,Elsevier,21,hybrid,for profit,4160,"$4,001-$5,000",87360,42000,0.480769231,45360,63000,0.721153846,24360,87360,1,0
648,NAR Genomics and Bioinformatics,2631-9268,,,,Oxford University Press (OUP),21,gold,not for profit,2766,"$2,001-$3,000",58086,42000,0.723065799,16086,58086,1,0,58086,1,0
649,Diabetes Research and Clinical Practice,0168-8227,1872-8227,,,Elsevier,21,hybrid,for profit,4410,"$4,001-$5,000",92610,42000,0.453514739,50610,63000,0.680272109,29610,92610,1,0
650,Pharmacological Research,1043-6618,1096-1186,,,Elsevier,21,gold,for profit,4130,"$4,001-$5,000",86730,42000,0.484261501,44730,63000,0.726392252,23730,86730,1,0
651,Brain Stimulation,1935-861X,1876-4754,,,Elsevier,21,gold,for profit,4430,"$4,001-$5,000",93030,42000,0.451467269,51030,63000,0.677200903,30030,93030,1,0
652,BMJ Public Health,2753-4294,,,,BMJ,21,gold,for profit,3243,"$3,001-$4,000",68103,42000,0.61671292,26103,63000,0.92506938,5103,68103,1,0
653,Journal of Neuro-Oncology,0167-594X,1573-7373,,,Springer Nature,21,hybrid,for profit,4590,"$4,001-$5,000",96390,42000,0.435729847,54390,63000,0.653594771,33390,96390,1,0
654,Journal of Experimental & Clinical Cancer Research,0392-9078,1756-9966,,,Springer Nature,21,gold,for profit,4190,"$4,001-$5,000",87990,42000,0.477326969,45990,63000,0.715990453,24990,87990,1,0
